selling_price,year,km_driven,mileage,engine,max_power,age,Diesel,Electric,LPG,Petrol,Manual,5seats,>5seats
7.75,2016.0,47227,14.0,2179.0,138.1,6.0,1,0,0,0,1,0,1
4.35,2018.0,52000,33.54,998.0,67.04,4.0,0,0,0,0,1,1,0
1.85,2012.0,74000,20.0,1399.0,68.05,10.0,1,0,0,0,1,1,0
4.4,2011.0,47000,15.96,2523.0,62.1,11.0,1,0,0,0,1,0,1
4.5,2015.0,50000,18.6,1197.0,81.83,7.0,0,0,0,1,1,1,0
6.0,2017.0,100000,21.4,1197.0,83.1,5.0,0,0,0,1,1,1,0
3.2,2014.0,35000,23.1,998.0,67.04,8.0,0,0,0,1,1,1,0
7.0,2016.0,50000,21.19,1396.0,88.73,6.0,1,0,0,0,1,1,0
6.3,2018.0,10000,18.16,1196.0,86.8,4.0,0,0,0,1,1,1,0
3.2,2016.0,10370,22.74,796.0,47.3,6.0,0,0,0,1,1,1,0
4.65,2013.0,62000,16.8,1497.0,116.3,9.0,0,0,0,1,1,1,0
2.75,2011.0,70000,21.12,1248.0,88.8,11.0,1,0,0,0,1,1,0
3.7,2013.0,250000,21.64,1461.0,84.8,9.0,1,0,0,0,1,1,0
5.5,2016.0,40000,18.6,1197.0,81.83,6.0,0,0,0,1,1,1,0
4.45,2017.0,60000,22.0,1197.0,81.8,5.0,0,0,0,1,1,1,0
7.05,2013.0,67231,14.0,2179.0,138.1,9.0,1,0,0,0,1,0,1
2.7,2013.0,64000,33.54,998.0,67.04,9.0,0,0,0,0,1,1,0
4.2,2012.0,142587,23.08,1461.0,63.1,10.0,1,0,0,0,1,1,0
4.75,2014.0,63000,26.0,1498.0,98.6,8.0,1,0,0,0,1,1,0
17.55,2015.0,80000,12.55,2982.0,168.5,7.0,1,0,0,0,1,0,1
3.5,2011.0,55000,16.9,1497.0,100.0,11.0,0,0,0,1,1,1,0
5.75,2016.0,11000,18.6,1197.0,81.83,6.0,0,0,0,1,1,1,0
4.66,2016.0,66000,23.59,1364.0,67.06,6.0,1,0,0,0,1,1,0
3.6,2017.0,17000,23.01,999.0,67.0,5.0,0,0,0,1,1,1,0
2.75,2017.0,25000,24.7,796.0,47.3,5.0,0,0,0,1,1,1,0
3.2,2016.0,33350,19.44,1198.0,67.0,6.0,0,0,0,1,1,0,1
0.95,2000.0,45000,14.0,796.0,35.0,22.0,0,0,0,1,1,1,0
3.7,2015.0,62000,18.9,1197.0,82.0,7.0,0,0,0,1,1,1,0
2.5,2013.0,30000,19.4,1198.0,86.8,9.0,0,0,0,1,1,1,0
2.75,2009.0,59000,17.5,1298.0,85.8,13.0,0,0,0,1,1,1,0
19.5,2015.0,20000,12.33,1991.0,375.48,7.0,0,0,0,1,0,1,0
5.5,2014.0,86113,17.4,1497.0,117.3,8.0,0,0,0,1,1,1,0
13.25,2016.0,45000,21.43,1364.0,87.2,6.0,1,0,0,0,1,1,0
7.5,2018.0,10000,28.4,1248.0,74.02,4.0,1,0,0,0,1,1,0
2.9,2011.0,70000,18.06,1198.0,75.0,11.0,0,0,0,1,1,1,0
2.72,2015.0,92537,20.51,998.0,67.04,7.0,0,0,0,1,1,1,0
9.51,2019.0,27645,28.09,1248.0,88.5,3.0,1,0,0,0,1,1,0
2.8,2013.0,46242,20.92,998.0,67.1,9.0,0,0,0,1,1,1,0
5.45,2013.0,70000,16.8,1497.0,116.3,9.0,0,0,0,1,1,1,0
4.5,2020.0,6000,22.3,799.0,53.26,2.0,0,0,0,1,1,1,0
4.8,2017.0,64000,18.6,1197.0,81.83,5.0,0,0,0,1,1,1,0
10.6,2017.0,93000,15.4,1997.0,120.0,5.0,1,0,0,0,1,0,1
2.35,2013.0,26200,22.74,796.0,47.3,9.0,0,0,0,1,1,1,0
5.9,2017.0,25000,21.4,1197.0,83.1,5.0,0,0,0,1,1,1,0
7.5,2017.0,80000,18.49,1493.0,100.0,5.0,1,0,0,0,1,0,1
4.5,2016.0,70000,18.49,1493.0,100.0,6.0,1,0,0,0,1,0,1
20.90249999999996,2018.0,50000,12.9,2755.0,174.5,4.0,1,0,0,0,0,0,1
1.1,2008.0,80000,17.92,1086.0,62.1,14.0,0,0,0,1,1,1,0
2.8,2007.0,110000,13.5,2179.0,115.0,15.0,1,0,0,0,1,1,0
18.51,2016.0,55000,17.84,1395.0,147.51,6.0,0,0,0,1,0,1,0
7.5,2018.0,25000,17.4,1497.0,117.3,4.0,0,0,0,1,1,1,0
4.0,2015.0,36000,18.9,1197.0,81.86,7.0,0,0,0,1,1,1,0
5.3,2015.0,40000,26.59,1248.0,74.0,7.0,1,0,0,0,1,1,0
8.7,2018.0,25000,16.55,2498.0,105.0,4.0,1,0,0,0,1,0,1
2.95,2018.0,30038,25.17,799.0,53.3,4.0,0,0,0,1,1,1,0
3.7,2017.0,53000,27.28,1047.0,69.0,5.0,1,0,0,0,1,1,0
5.3,2018.0,5000,21.21,1197.0,81.8,4.0,0,0,0,1,1,1,0
6.0,2014.0,41217,24.4,1120.0,71.0,8.0,1,0,0,0,1,1,0
3.5,2017.0,35000,24.04,999.0,67.0,5.0,0,0,0,1,0,1,0
4.7,2013.0,62000,22.7,1498.0,89.84,9.0,1,0,0,0,1,1,0
3.9,2015.0,42000,25.83,1498.0,99.0,7.0,1,0,0,0,1,1,0
1.16,2005.0,120000,13.2,1995.0,56.0,17.0,1,0,0,0,1,1,0
9.2,2015.0,80000,15.4,2179.0,120.0,7.0,1,0,0,0,1,0,1
5.5,2013.0,60000,15.1,2179.0,140.0,9.0,1,0,0,0,1,0,1
6.35,2014.0,45000,22.32,1582.0,126.32,8.0,1,0,0,0,1,1,0
12.5,2017.0,50000,16.0,2179.0,140.0,5.0,1,0,0,0,0,0,1
3.0,2018.0,12000,24.7,796.0,47.3,4.0,0,0,0,1,1,1,0
9.6,2018.0,12000,18.0,1497.0,117.6,4.0,0,0,0,1,0,1,0
7.5,2018.0,15000,24.3,1248.0,88.5,4.0,1,0,0,0,1,1,0
2.49,2011.0,63000,16.47,1198.0,73.9,11.0,0,0,0,1,1,1,0
14.0,2018.0,30000,17.6,2179.0,153.86,4.0,1,0,0,0,1,0,1
2.5,2011.0,160800,20.0,1399.0,68.0,11.0,1,0,0,0,1,1,0
6.1,2014.0,120000,22.32,1582.0,126.32,8.0,1,0,0,0,1,1,0
1.65,2010.0,62821,18.2,998.0,67.1,12.0,0,0,0,1,1,1,0
5.45,2016.0,78247,21.7,1498.0,98.96,6.0,1,0,0,0,1,1,0
4.8,2013.0,113000,22.32,1582.0,126.3,9.0,1,0,0,0,1,1,0
3.95,2014.0,52000,18.6,1197.0,81.83,8.0,0,0,0,1,1,1,0
4.95,2012.0,109000,12.99,2494.0,100.6,10.0,1,0,0,0,1,0,1
4.7,2017.0,90000,18.9,1197.0,82.0,5.0,0,0,0,1,1,1,0
2.0,2011.0,35000,16.84,1193.0,64.4,11.0,0,0,0,1,1,1,0
2.8,2010.0,90000,17.0,1896.0,105.0,12.0,1,0,0,0,1,1,0
1.49,2008.0,62001,14.4,1399.0,94.0,14.0,0,0,0,1,1,1,0
2.0,2011.0,98000,22.07,1199.0,73.9,11.0,1,0,0,0,1,1,0
6.99,2016.0,20000,21.19,1396.0,88.73,6.0,1,0,0,0,1,1,0
3.15,2010.0,57000,14.28,1798.0,138.03,12.0,0,0,0,1,1,1,0
3.4,2014.0,21717,20.51,998.0,67.04,8.0,0,0,0,1,1,1,0
5.0,2014.0,40000,20.45,1461.0,83.8,8.0,1,0,0,0,1,1,0
10.5,2017.0,50000,17.14,1497.0,117.6,5.0,0,0,0,1,1,1,0
6.0,2016.0,90000,19.6,1461.0,108.45,6.0,1,0,0,0,1,1,0
4.78,2017.0,90000,20.5,1248.0,91.72,5.0,1,0,0,0,1,1,0
4.91,2017.0,27876,20.4,1197.0,81.8,5.0,0,0,0,1,1,1,0
20.90249999999996,2016.0,56000,12.63,1999.0,177.0,6.0,0,0,0,1,0,1,0
1.6,2008.0,57215,20.36,1197.0,78.9,14.0,0,0,0,1,1,1,0
9.85,2019.0,5400,18.27,998.0,118.35,3.0,0,0,0,1,1,1,0
5.0,2014.0,60000,23.4,1248.0,74.0,8.0,1,0,0,0,1,1,0
3.35,2017.0,24800,23.84,1199.0,84.0,5.0,0,0,0,1,1,1,0
